Country,Continent,Dystopia Residual (Social support),Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Standard Error,Trust (Government Corruption),year
Jordan,Asia,2.20142,0.99673,0.86216,0.36023,0.14262,80,5.303,0.60712,,0.13297,2016
Azerbaijan,Europe,2.2735,1.12373,0.76042,0.35327,0.0564,81,5.291,0.54504,,0.17914,2016
Azerbaijan,Asia,2.2735,1.12373,0.76042,0.35327,0.0564,81,5.291,0.54504,,0.17914,2016
Philippines,Asia,2.23484,0.81217,0.87877,0.54854,0.21674,82,5.279,0.47036,,0.11757,2016
China,Asia,2.17087,1.0278,0.79381,0.44012,0.04959,83,5.245,0.73561,,0.02745,2016
Bhutan,Asia,1.82916,0.8527,0.90836,0.46074,0.48546,84,5.196,0.49759,,0.1616,2016
Kyrgyzstan,Asia,2.28136,0.56044,0.95434,0.40212,0.38432,85,5.185,0.55449,,0.04762,2016
Serbia,Europe,2.27539,1.03437,0.81329,0.15718,0.20737,86,5.177,0.6458,,0.04339,2016
Bosnia and Herzegovina,Europe,2.48406,0.93383,0.64367,0.09511,0.29889,87,5.163,0.70766,,0,2016
Montenegro,Europe,2.25531,1.07838,0.74173,0.15111,0.17191,88,5.161,0.63533,,0.12721,2016
Dominican Republic,North America,1.69626,1.02787,0.99496,0.52259,0.21286,89,5.155,0.57669,,0.12372,2016
Morocco,Africa,2.94891,0.84058,0.38595,0.25646,0.04053,90,5.151,0.59471,,0.08404,2016
Hungary,Europe,1.95473,1.24142,0.93164,0.1977,0.099,91,5.145,0.67608,,0.04472,2016
Pakistan,Asia,3.18286,0.68816,0.26135,0.14622,0.31185,92,5.132,0.40306,,0.1388,2016
Lebanon,Asia,2.07339,1.12268,0.64184,0.26228,0.23693,93,5.129,0.76171,,0.03061,2016
Portugal,Europe,1.53015,1.27607,0.94367,0.44727,0.11691,94,5.123,0.79363,,0.01521,2016
Macedonia,Europe,2.08947,1.0193,0.78236,0.27668,0.23507,95,5.121,0.64738,,0.07047,2016
Vietnam,Asia,1.9418,0.74037,0.79117,0.55954,0.25075,96,5.061,0.66157,,0.11556,2016
Somaliland Region,Africa,2.43801,0.25558,0.75862,0.3913,0.51479,97,5.057,0.33108,,0.36794,2016
Tunisia,Africa,2.68413,0.97724,0.43165,0.23553,0.03936,98,5.045,0.59577,,0.0817,2016
Greece,Europe,2.12944,1.24886,0.75473,0.05822,0,99,5.033,0.80029,,0.04127,2016
Tajikistan,Asia,2.39106,0.48835,0.75602,0.43408,0.25998,100,4.996,0.53119,,0.13509,2016
Mongolia,Asia,1.53586,0.98853,1.08983,0.35972,0.34539,101,4.907,0.55469,,0.03285,2016
Laos,Asia,2.08637,0.68042,0.5497,0.52168,0.43079,102,4.876,0.38291,,0.22423,2016
Nigeria,Africa,2.88586,0.75216,0.64498,0.27854,0.23219,103,4.875,0.05108,,0.0305,2016
Honduras,North America,2.29551,0.69429,0.75596,0.26755,0.2044,104,4.871,0.58383,,0.06906,2016
Iran,Asia,1.99817,1.11758,0.38857,0.22544,0.38538,105,4.813,0.64232,,0.0557,2016
Zambia,Africa,2.58991,0.61202,0.6376,0.42662,0.17866,106,4.795,0.23573,,0.11479,2016
Nepal,Asia,2.32694,0.44626,0.69699,0.37012,0.3816,107,4.793,0.50073,,0.07008,2016
Palestinian Territories,Asia,2.40364,0.67024,0.71629,0.17744,0.11154,108,4.754,0.56844,,0.10613,2016
Albania,Europe,1.92816,0.9553,0.50163,0.31866,0.1684,109,4.655,0.73007,,0.05301,2016
Bangladesh,Asia,2.60904,0.54177,0.24749,0.39778,0.19132,110,4.643,0.52989,,0.12583,2016
Sierra Leone,Africa,3.01402,0.36485,0.628,0.30685,0.23897,111,4.635,0,,0.08196,2016
Iraq,Asia,1.81657,1.07474,0.59205,0.24856,0.19589,112,4.575,0.51076,,0.13636,2016
Namibia,Africa,1.92198,0.93287,0.70362,0.48614,0.07795,113,4.574,0.34745,,0.10398,2016
Cameroon,Africa,2.5198,0.52497,0.62542,0.42736,0.2268,114,4.513,0.12698,,0.06126,2016
Ethiopia,Africa,2.65614,0.29283,0.37932,0.36703,0.29522,115,4.508,0.34578,,0.1717,2016
South Africa,Africa,1.64227,1.02416,0.96053,0.42483,0.13656,116,4.459,0.18611,,0.08415,2016
Sri Lanka,Asia,0.91681,0.97318,0.84783,0.50817,0.46978,117,4.415,0.62007,,0.07964,2016
India,Asia,2.18032,0.74036,0.29247,0.40285,0.25028,118,4.404,0.45091,,0.08722,2016
Myanmar,Asia,1.50655,0.34112,0.69981,0.42692,0.81971,119,4.395,0.3988,,0.20243,2016
Egypt,Africa,1.96895,0.95395,0.49813,0.18847,0.12706,120,4.362,0.52116,,0.10393,2016
Armenia,Europe,1.97864,0.86086,0.62477,0.14037,0.07793,121,4.36,0.64083,,0.03616,2016
Armenia,Asia,1.97864,0.86086,0.62477,0.14037,0.07793,121,4.36,0.64083,,0.03616,2016
Kenya,Africa,1.88326,0.52267,0.7624,0.40576,0.41328,122,4.356,0.30147,,0.06686,2016
Ukraine,Europe,1.50066,0.87287,1.01413,0.12859,0.20363,123,4.324,0.58628,,0.01829,2016
Ghana,Africa,2.2002,0.63107,0.49353,0.40973,0.21203,124,4.276,0.29681,,0.0326,2016
Congo (Kinshasa),Africa,2.74924,0.05661,0.80676,0.15602,0.25458,125,4.272,0.188,,0.06075,2016
Georgia,Europe,1.87031,0.83792,0.19249,0.32461,0.06786,126,4.252,0.64035,,0.3188,2016
Georgia,Asia,1.87031,0.83792,0.19249,0.32461,0.06786,126,4.252,0.64035,,0.3188,2016
Congo (Brazzaville),Africa,2.10681,0.77109,0.47799,0.37938,0.12077,127,4.236,0.28212,,0.09753,2016
Senegal,Africa,1.97861,0.44314,0.77416,0.31056,0.19103,128,4.219,0.40457,,0.11681,2016
Bulgaria,Europe,1.15377,1.11306,0.92542,0.21219,0.12793,129,4.217,0.67806,,0.00615,2016
Mauritania,Africa,1.9263,0.61391,0.84142,0.1268,0.22686,130,4.201,0.28639,,0.17955,2016
Zimbabwe,Africa,2.4427,0.35041,0.71478,0.25429,0.18503,131,4.193,0.1595,,0.08582,2016
Malawi,Africa,2.82859,0.08709,0.147,0.4143,0.30968,132,4.156,0.29364,,0.07564,2016
Sudan,Africa,2.10995,0.63069,0.81928,0,0.18077,133,4.139,0.29759,,0.10039,2016
Gabon,Africa,1.45332,1.15851,0.72368,0.28098,0.06244,134,4.121,0.3494,,0.09314,2016
Mali,Africa,2.11087,0.31292,0.86333,0.27544,0.21064,135,4.073,0.16347,,0.13647,2016
Haiti,North America,2.37116,0.34097,0.29561,0.12072,0.47958,136,4.028,0.27494,,0.14476,2016
Botswana,Africa,0.96741,1.09426,0.89186,0.44089,0.12425,137,3.974,0.34752,,0.10769,2016
Comoros,Africa,2.25632,0.27509,0.60323,0.15412,0.1827,138,3.956,0.29981,,0.18437,2016
Ivory Coast,Africa,1.97478,0.55507,0.57576,0.40663,0.20338,139,3.916,0.04476,,0.1553,2016
Cambodia,Asia,1.31573,0.55604,0.5375,0.58852,0.40339,140,3.907,0.42494,,0.08092,2016
Angola,Africa,2.09459,0.84731,0.66366,0.00589,0.12071,141,3.866,0.04991,,0.08434,2016
Niger,Africa,2.09469,0.1327,0.6053,0.38041,0.2097,142,3.856,0.26162,,0.17176,2016
South Sudan,Africa,2.50929,0.39394,0.18519,0.19662,0.25899,143,3.832,0.15781,,0.13015,2016
Chad,Africa,2.30637,0.42214,0.63178,0.12807,0.18667,144,3.763,0.03824,,0.04952,2016
Burkina Faso,Africa,1.87319,0.31995,0.63054,0.3337,0.24353,145,3.739,0.21297,,0.12533,2016
Uganda,Africa,1.51416,0.34719,0.90981,0.43653,0.27102,145,3.739,0.19625,,0.06442,2016
Yemen,Asia,1.97295,0.57939,0.47493,0.2287,0.09821,147,3.724,0.31048,,0.05892,2016
Madagascar,Africa,2.15075,0.27954,0.46115,0.13684,0.2204,148,3.695,0.37109,,0.07506,2016
Tanzania,Africa,1.37769,0.47155,0.77623,0.3176,0.31472,149,3.666,0.357,,0.05099,2016
Liberia,Africa,2.23284,0.10706,0.50353,0.25748,0.24063,150,3.622,0.23165,,0.04852,2016
Guinea,Africa,2.15604,0.22415,0.3109,0.30953,0.29914,151,3.607,0.18829,,0.1192,2016
Rwanda,Africa,0.96819,0.32846,0.61586,0.5432,0.23552,152,3.515,0.31865,,0.50521,2016
Benin,Africa,2.10812,0.39499,0.10419,0.39747,0.2018,153,3.484,0.21028,,0.06681,2016
Afghanistan,Asia,2.14558,0.38227,0.11037,0.1643,0.31268,154,3.36,0.17344,,0.07112,2016
Togo,Africa,2.1354,0.28123,0,0.34678,0.17517,155,3.303,0.24811,,0.11587,2016
Syria,Asia,0.81789,0.74719,0.14866,0.06912,0.48397,156,3.069,0.62994,,0.17233,2016
Burundi,Africa,2.10404,0.06831,0.23442,0.0432,0.2029,157,2.905,0.15747,,0.09419,2016
Norway,Europe,2.277026653,1.616463184,1.53352356,0.635422587,0.362012237,1,7.537000179,0.796666503,,0.315963835,2017
Denmark,Europe,2.313707352,1.482383013,1.551121593,0.626006722,0.355280489,2,7.521999836,0.792565525,,0.400770068,2017
Iceland,Europe,2.322715282,1.48063302,1.610574007,0.627162635,0.475540221,3,7.504000187,0.833552122,,0.153526559,2017
Switzerland,Europe,2.276716232,1.564979553,1.516911745,0.620070577,0.290549278,4,7.493999958,0.858131289,,0.367007285,2017
Finland,Europe,2.430181503,1.443571925,1.540246725,0.617950857,0.245482773,5,7.468999863,0.80915767,,0.382611543,2017
Netherlands,Europe,2.294804096,1.503944635,1.428939223,0.585384488,0.47048983,6,7.376999855,0.810696125,,0.282661825,2017
Canada,North America,2.187264442,1.479204416,1.481348991,0.611100912,0.435539722,7,7.315999985,0.834557652,,0.287371516,2017
New Zealand,Oceania,2.046456337,1.405706048,1.548195124,0.61406213,0.500005126,8,7.31400013,0.816759706,,0.382816702,2017
Sweden,Europe,2.097537994,1.494387269,1.478162169,0.612924099,0.385399252,9,7.28399992,0.830875158,,0.384398729,2017
Australia,Oceania,2.065210819,1.484414935,1.510041952,0.601607382,0.47769925,10,7.28399992,0.843886793,,0.30118373,2017
Israel,Asia,2.801757336,1.375382423,1.376289964,0.405988604,0.330082655,11,7.212999821,0.838404,,0.0852421,2017
Costa Rica,North America,2.898639202,1.109706283,1.416403651,0.58013165,0.214613229,12,7.078999996,0.759509265,,0.100106589,2017
Austria,Europe,2.138506413,1.487097263,1.459944963,0.56776619,0.316472322,13,7.006000042,0.815328419,,0.221060365,2017
United States,North America,2.218113422,1.546259284,1.419920564,0.505740523,0.392578781,14,6.993000031,0.774286628,,0.135638788,2017
Ireland,Europe,1.773869038,1.535706639,1.558231115,0.573110342,0.427858323,15,6.977000237,0.809782624,,0.298388153,2017
Germany,Europe,2.015769958,1.487923384,1.472520351,0.562511384,0.33626917,16,6.951000214,0.798950732,,0.276731938,2017
Belgium,Europe,2.124210358,1.463780761,1.462312698,0.539770722,0.231503338,17,6.890999794,0.818091869,,0.251343131,2017
Luxembourg,Europe,1.619512081,1.741943598,1.457583666,0.596627891,0.283180982,18,6.862999916,0.845089495,,0.318834424,2017
United Kingdom,Europe,1.704143524,1.44163394,1.49646008,0.508190036,0.492774159,19,6.714000225,0.805335939,,0.265428066,2017
Chile,South America,2.509585857,1.25278461,1.284024954,0.376895279,0.326662421,20,6.65199995,0.819479704,,0.082287982,2017
United Arab Emirates,Asia,1.734703541,1.626343369,1.266410232,0.60834527,0.360941947,21,6.647999763,0.726798236,,0.324489564,2017
Brazil,South America,2.769267082,1.10735321,1.431306005,0.437453747,0.162349895,22,6.635000229,0.616552353,,0.111092761,2017
Czech Republic,Europe,2.451861858,1.352682352,1.433885217,0.490946174,0.088106759,23,6.609000206,0.754444003,,0.036872927,2017
Argentina,South America,2.614005327,1.185295463,1.440451145,0.494519204,0.109457061,24,6.598999977,0.695137084,,0.059739888,2017
Mexico,North America,2.837154865,1.153183818,1.21086216,0.412730008,0.120990433,25,6.578000069,0.709978998,,0.132774115,2017
Singapore,Asia,1.216362,1.69227767,1.353814363,0.549840569,0.345965981,26,6.572000027,0.949492395,,0.464307785,2017
Malta,Europe,1.556862831,1.343279839,1.488411665,0.588767052,0.574730575,27,6.52699995,0.821944237,,0.153066069,2017
Uruguay,South America,2.172409534,1.217559695,1.412227869,0.579392254,0.175096929,28,6.453999996,0.719216824,,0.178061873,2017
Guatemala,North America,2.893891096,0.872001946,1.255585194,0.531310618,0.283488393,29,6.453999996,0.54023999,,0.077223279,2017
Panama,North America,2.307199955,1.233748436,1.373192549,0.550026834,0.210556939,30,6.452000141,0.706156135,,0.070983924,2017
France,Europe,2.005954742,1.430923462,1.387776852,0.470222116,0.129762307,31,6.441999912,0.844465852,,0.172502428,2017
Thailand,Asia,2.039508343,1.127868772,1.425792456,0.580200732,0.57212311,32,6.423999786,0.647239029,,0.031612735,2017
Taiwan Province of China,Asia,2.126607418,1.433626533,1.384565353,0.361466587,0.258360475,33,6.421999931,0.793984234,,0.063829236,2017
Spain,Europe,1.92775774,1.384397864,1.532090902,0.40878123,0.190133572,34,6.402999878,0.8889606,,0.070914097,2017
Qatar,Asia,1.14546442,1.870765686,1.27429688,0.604130983,0.33047387,35,6.375,0.710098088,,0.439299256,2017
Colombia,South America,2.616068125,1.070622325,1.402182937,0.477487415,0.149014473,36,6.356999874,0.595027924,,0.046668742,2017
Saudi Arabia,Asia,2.065429688,1.530623555,1.286677599,0.449750572,0.147616014,37,6.343999863,0.59014833,,0.273432255,2017
Trinidad and Tobago,North America,2.053247452,1.361355901,1.380228519,0.518630743,0.325296462,38,6.168000221,0.519983292,,0.008964816,2017
Kuwait,Asia,1.640425205,1.632952452,1.259698749,0.496337593,0.228289798,39,6.105000019,0.632105708,,0.21515955,2017
Slovakia,Europe,2.097776651,1.325393558,1.505059242,0.295817465,0.136544481,40,6.09800005,0.712732911,,0.024210852,2017
Bahrain,Asia,1.656149387,1.488412261,1.323110461,0.536746919,0.172668487,41,6.086999893,0.653133035,,0.25704217,2017
Malaysia,Asia,2.004448891,1.29121542,1.284646034,0.402264982,0.41660893,42,6.084000111,0.618784428,,0.065600708,2017
Nicaragua,North America,2.513930559,0.737299204,1.28721571,0.447551847,0.301674217,43,6.071000099,0.653095961,,0.130687982,2017
Ecuador,South America,2.290352583,1.000820398,1.286168814,0.455198199,0.150112465,44,6.007999897,0.685636222,,0.140134647,2017
El Salvador,North America,2.714593887,0.909784496,1.182125092,0.43245253,0.078257985,45,6.002999783,0.596018553,,0.08998096,2017
Poland,Europe,1.797722816,1.291787863,1.44571197,0.520342112,0.158465967,46,5.97300005,0.699475348,,0.059307806,2017
Uzbekistan,Asia,1.816913605,0.786441088,1.54896915,0.658248663,0.415983647,47,5.971000195,0.498272628,,0.246528223,2017
Italy,Europe,1.813312054,1.395066619,1.444923282,0.256450713,0.172789648,48,5.964000225,0.853144348,,0.028028091,2017
Russia,Europe,2.205607414,1.281778097,1.469282389,0.373783112,0.052263822,49,5.962999821,0.547349334,,0.032962881,2017
Belize,North America,2.631955624,0.907975316,1.081417799,0.547509372,0.240015641,50,5.955999851,0.450191766,,0.096581072,2017
Japan,Asia,1.363223553,1.416915178,1.436337829,0.505625546,0.120572768,51,5.920000076,0.913475871,,0.163760737,2017
Lithuania,Europe,2.228440523,1.314582348,1.473516107,0.234231785,0.010164657,52,5.90199995,0.62894994,,0.011865643,2017
Algeria,Africa,2.567603827,1.091864467,1.146217465,0.233335808,0.069436647,53,5.872000217,0.617584646,,0.14609611,2017
Latvia,Europe,1.993655205,1.260748625,1.404714942,0.325707912,0.153074786,54,5.849999905,0.638566971,,0.073842727,2017
South Korea,Asia,1.880378008,1.401678443,1.128274441,0.257921666,0.206674367,55,5.837999821,0.900214076,,0.063282669,2017
Moldova,Europe,2.807808399,0.72887063,1.251825571,0.240729049,0.208779126,56,5.837999821,0.589465201,,0.010091286,2017
Romania,Europe,2.176831484,1.217683911,1.15009129,0.457003742,0.133519918,57,5.824999809,0.685158312,,0.004387901,2017
Bolivia,South America,2.443279028,0.833756566,1.227619052,0.558732927,0.225560725,58,5.822999954,0.47363025,,0.060477726,2017
Turkmenistan,Asia,1.832909822,1.130776763,1.493149161,0.418271929,0.249924988,59,5.822000027,0.43772608,,0.25927034,2017
Kazakhstan,Europe,1.784892559,1.28455627,1.384369016,0.437454283,0.201964423,60,5.818999767,0.606041551,,0.119282886,2017
Kazakhstan,Asia,1.784892559,1.28455627,1.384369016,0.437454283,0.201964423,60,5.818999767,0.606041551,,0.119282886,2017
North Cyprus,Europe,1.549157619,1.346911311,1.186303377,0.471203625,0.266845703,61,5.809999943,0.834647238,,0.155353352,2017
Slovenia,Europe,1.313317299,1.341205955,1.452518821,0.572575808,0.242649093,62,5.757999897,0.790828228,,0.045128979,2017
Peru,South America,2.20726943,1.035225272,1.218770385,0.450002879,0.126819715,63,5.715000153,0.630166113,,0.047049087,2017
Mauritius,Africa,1.697583914,1.189395547,1.20956099,0.491247326,0.360933751,64,5.629000187,0.638007462,,0.042181555,2017
Cyprus,Asia,1.621249199,1.355938077,1.131363273,0.355111539,0.271254301,65,5.620999813,0.844714701,,0.041237976,2017
Estonia,Europe,1.357508659,1.32087934,1.4766711,0.47913143,0.098890811,66,5.611000061,0.695168316,,0.183248922,2017
Belarus,Europe,1.723232985,1.15655756,1.444945216,0.295400262,0.155137509,67,5.568999767,0.637714267,,0.156313822,2017
Libya,Africa,1.835011244,1.101803064,1.35756433,0.46573323,0.152073666,68,5.525000095,0.52016902,,0.09261021,2017
Turkey,Europe,1.879277945,1.198274374,1.337753177,0.3007406,0.046693042,69,5.5,0.637605608,,0.09967158,2017
Turkey,Asia,1.879277945,1.198274374,1.337753177,0.3007406,0.046693042,69,5.5,0.637605608,,0.09967158,2017
Paraguay,South America,1.68533349,0.932537317,1.50728488,0.473507792,0.224150658,70,5.493000031,0.579250693,,0.091065913,2017
"Hong Kong S.A.R., China",Asia,0.554633141,1.551674843,1.262790918,0.490968645,0.374465793,71,5.472000122,0.943062425,,0.293933749,2017
Philippines,Asia,1.972604752,0.857699215,1.253917575,0.585214674,0.193513423,72,5.429999828,0.468009055,,0.099331893,2017
Serbia,Europe,1.947084427,1.069317579,1.258189797,0.208715528,0.220125884,73,5.394999981,0.650784671,,0.040903781,2017
Jordan,Asia,1.791176558,0.991012394,1.239088893,0.418421149,0.17217046,74,5.335999966,0.604590058,,0.119803272,2017
Hungary,Europe,1.716459274,1.286011934,1.343133092,0.175863519,0.078401662,75,5.323999882,0.687763453,,0.036636937,2017
Jamaica,North America,1.612325668,0.925579309,1.368218064,0.474307239,0.233818337,76,5.31099987,0.641022384,,0.055267781,2017
Croatia,Europe,1.854492426,1.222556233,0.967983007,0.255772293,0.248002976,77,5.293000221,0.701288521,,0.04310311,2017
Kosovo,Europe,2.010540724,0.951484382,1.137853503,0.260287941,0.319931448,78,5.278999805,0.54145205,,0.057471618,2017
China,Asia,1.764938593,1.081165791,1.160837412,0.472787708,0.028806841,79,5.272999763,0.741415501,,0.022794275,2017
Pakistan,Asia,2.79248929,0.726883531,0.67269069,0.235215262,0.315446019,80,5.269000053,0.402047783,,0.124348067,2017
Indonesia,Asia,1.429476976,0.995538592,1.274444699,0.443323463,0.611704588,81,5.262000084,0.492345721,,0.015317135,2017
Venezuela,South America,1.789463758,1.128431201,1.431337595,0.153997123,0.06501963,82,5.25,0.617144227,,0.064491123,2017
Montenegro,Europe,1.729191542,1.121129036,1.238376498,0.194989055,0.197911024,83,5.236999989,0.667464674,,0.088174194,2017
Morocco,Africa,2.456189394,0.878114581,0.774864435,0.408158332,0.032209955,84,5.235000134,0.597710669,,0.087763183,2017
Azerbaijan,Europe,1.762481689,1.153601766,1.152400255,0.398155838,0.04526934,85,5.234000206,0.540775776,,0.180987507,2017
Azerbaijan,Asia,1.762481689,1.153601766,1.152400255,0.398155838,0.04526934,85,5.234000206,0.540775776,,0.180987507,2017
Dominican Republic,North America,1.31946516,1.079373837,1.402416706,0.552589834,0.18696785,86,5.230000019,0.574873745,,0.113945253,2017
Greece,Europe,1.749221563,1.289487481,1.239414573,0.095731251,0,87,5.227000237,0.810198903,,0.043289777,2017
Lebanon,Asia,1.695073843,1.074987531,1.129624248,0.288515985,0.264450759,88,5.224999905,0.735081077,,0.03751383,2017
Portugal,Europe,1.107682705,1.315175295,1.367043018,0.4984653,0.095102713,89,5.195000172,0.795843542,,0.015869452,2017
Bosnia and Herzegovina,Europe,1.892172575,0.982409418,1.069335938,0.204403177,0.328867495,90,5.18200016,0.705186307,,0,2017
Honduras,North America,2.065811157,0.730573118,1.143944979,0.34807986,0.236188874,91,5.181000233,0.58256948,,0.073345453,2017
Macedonia,Europe,1.617469311,1.064577937,1.207893014,0.325905979,0.253760964,92,5.175000191,0.644948184,,0.060277794,2017
Somalia,Africa,3.11748457,0.022643184,0.721151352,0.602126956,0.291631311,93,5.151000023,0.113989137,,0.282410324,2017
Vietnam,Asia,1.462318659,0.788547575,1.277491331,0.571055591,0.234968051,94,5.073999882,0.652168989,,0.087633237,2017
Nigeria,Africa,2.365390539,0.783756256,1.215770483,0.394952565,0.230947196,95,5.073999882,0.05691573,,0.026121566,2017
Tajikistan,Asia,1.84904933,0.524713635,1.271463275,0.471566707,0.248997644,96,5.040999889,0.529235125,,0.146377146,2017
Bhutan,Asia,1.140184402,0.885416389,1.340126514,0.501537681,0.474054545,97,5.011000156,0.495879292,,0.17338039,2017
Kyrgyzstan,Asia,1.536723137,0.596220076,1.394238591,0.454943389,0.428580374,98,5.004000187,0.553457797,,0.039439179,2017
Nepal,Asia,1.891241074,0.479820192,1.179283261,0.440305948,0.394096166,99,4.961999893,0.504130781,,0.072975546,2017
Mongolia,Asia,1.111292362,1.027235866,1.493011236,0.394143969,0.33846423,100,4.954999924,0.557783484,,0.032902289,2017
South Africa,Africa,1.510908604,1.054698706,1.384788632,0.479246736,0.13936238,101,4.828999996,0.18708007,,0.072509497,2017
Tunisia,Africa,1.89025116,1.007265806,0.86835146,0.28968069,0.049693357,102,4.804999828,0.613212049,,0.086723149,2017
Palestinian Territories,Asia,1.878890276,0.716249228,1.155647159,0.254711062,0.114173174,103,4.775000095,0.565666974,,0.089282602,2017
Egypt,Africa,1.702161074,0.989701807,0.997471392,0.282110155,0.128631443,104,4.735000134,0.520187259,,0.114381365,2017
Bulgaria,Europe,0.996139288,1.161459088,1.434379458,0.289231718,0.113177694,105,4.714000225,0.70821768,,0.011051531,2017
Sierra Leone,Africa,2.668459892,0.368420929,0.984136045,0.318697691,0.293040901,106,4.709000111,0.005564754,,0.071095176,2017
Cameroon,Africa,2.333645582,0.564305365,0.946018219,0.430388749,0.236298457,107,4.695000172,0.132892117,,0.051306631,2017
Iran,Asia,1.498734951,1.156873107,0.711551249,0.249322608,0.387242913,108,4.691999912,0.639333189,,0.048761073,2017
Albania,Europe,1.490441561,0.996192753,0.803685248,0.381498635,0.201312944,109,4.644000053,0.731159747,,0.039864216,2017
Bangladesh,Asia,1.978736162,0.586682975,0.735131741,0.478356659,0.172255352,110,4.607999802,0.533241034,,0.123717859,2017
Namibia,Africa,1.481890202,0.964434326,1.098470807,0.520303547,0.077133745,111,4.573999882,0.338611811,,0.093146972,2017
Kenya,Africa,1.651902199,0.560479462,1.067950726,0.452763766,0.444860309,112,4.552999973,0.30998835,,0.064641319,2017
Mozambique,Africa,2.355650902,0.23430565,0.870701015,0.480791092,0.322228104,113,4.550000191,0.106654435,,0.179436386,2017
Myanmar,Asia,1.115290403,0.36711055,1.123235941,0.514492035,0.838075161,114,4.545000076,0.397522569,,0.188816205,2017
Senegal,Africa,1.789646149,0.479309022,1.179691911,0.377922267,0.183468893,115,4.534999847,0.409362853,,0.115460448,2017
Zambia,Africa,1.826705456,0.636406779,1.003187299,0.461603492,0.249580145,116,4.513999939,0.257835895,,0.07821355,2017
Iraq,Asia,1.318907261,1.102710485,0.978613198,0.288555533,0.199637264,117,4.497000217,0.50118047,,0.107215755,2017
Gabon,Africa,1.322916269,1.198210239,1.155620217,0.312328577,0.043785378,118,4.465000153,0.356578588,,0.076046787,2017
Ethiopia,Africa,2.015743732,0.339233845,0.864669204,0.408842742,0.31265074,119,4.460000038,0.353409708,,0.165455714,2017
Sri Lanka,Asia,0.419389248,1.009850144,1.259976387,0.561213255,0.490863562,120,4.440000057,0.625130832,,0.073653966,2017
Armenia,Europe,1.521499157,0.900596738,1.007483721,0.198303267,0.083488092,121,4.375999928,0.637524426,,0.026674422,2017
Armenia,Asia,1.521499157,0.900596738,1.007483721,0.198303267,0.083488092,121,4.375999928,0.637524426,,0.026674422,2017
India,Asia,1.519117117,0.792221248,0.754372597,0.469987005,0.231538489,122,4.315000057,0.455427617,,0.092226885,2017
Mauritania,Africa,1.651637316,0.648457289,1.27203083,0.096098043,0.201870024,123,4.291999817,0.28534928,,0.136957005,2017
Congo (Brazzaville),Africa,1.724135637,0.808964252,0.832044363,0.435025871,0.120852128,124,4.290999889,0.289957434,,0.079618134,2017
Georgia,Europe,1.500137806,0.950612664,0.570614934,0.309410036,0.054008815,125,4.285999775,0.649546981,,0.251666635,2017
Georgia,Asia,1.500137806,0.950612664,0.570614934,0.309410036,0.054008815,125,4.285999775,0.649546981,,0.251666635,2017
Congo (Kinshasa),Africa,2.224958658,0.092102349,1.229023457,0.235961348,0.246455833,126,4.28000021,0.191407025,,0.060241356,2017
Mali,Africa,1.668190956,0.476180494,1.281473398,0.306613743,0.183354199,127,4.190000057,0.169365674,,0.104970247,2017
Ivory Coast,Africa,1.844964266,0.603048921,0.90478003,0.447706193,0.20123747,128,4.179999828,0.04864217,,0.130061775,2017
Cambodia,Asia,1.042941093,0.601765096,1.006238341,0.633375823,0.385922968,129,4.168000221,0.429783404,,0.068105951,2017
Sudan,Africa,1.68706584,0.659516692,1.21400857,0.014995855,0.182317451,130,4.138999939,0.290920824,,0.08984752,2017
Ghana,Africa,1.577867508,0.667224824,0.873664737,0.423026294,0.256923944,131,4.119999886,0.295637727,,0.02533637,2017
Ukraine,Europe,0.814382315,0.894651949,1.394537568,0.122974776,0.270061463,132,4.096000195,0.575903952,,0.023029471,2017
Uganda,Africa,1.526362658,0.381430715,1.129827738,0.443185955,0.325766057,133,4.080999851,0.217632607,,0.057069719,2017
